country_key,country,score,gdp,social,life,freedom,generosity,corruption,residual
viet nam,Viet Nam,5.485,1.252,0.932,0.611,0.707,0.143,0.105,1.735
turkmenistan,Turkmenistan,5.474,1.484,1.319,0.516,0.649,0.314,0.032,1.16
north cyprus,North Cyprus,5.467,1.815,0.888,0.819,0.523,0.13,0.213,1.078
russian federation,Russian Federation,5.459,1.685,1.095,0.586,0.401,0.117,0.08,1.494
hong kong sar of china,Hong Kong SAR of China,5.425,1.957,0.954,0.942,0.4,0.147,0.383,0.642
armenia,Armenia,5.399,1.434,0.82,0.668,0.558,0.054,0.21,1.654
tajikistan,Tajikistan,5.377,0.966,1.005,0.518,0.572,0.118,0.304,1.895
nepal,Nepal,5.377,0.984,0.784,0.499,0.519,0.237,0.13,2.224
bulgaria,Bulgaria,5.371,1.625,1.163,0.64,0.563,0.123,0.021,1.235
libya,Libya,5.33,1.476,0.943,0.606,0.477,0.106,0.179,1.544
indonesia,Indonesia,5.24,1.382,0.883,0.539,0.62,0.468,0.047,1.3
c te divoire,Côte d’Ivoire,5.235,1.094,0.442,0.322,0.451,0.149,0.124,2.652
north macedonia,North Macedonia,5.199,1.505,0.863,0.637,0.488,0.215,0.031,1.461
albania,Albania,5.199,1.439,0.646,0.719,0.511,0.138,0.028,1.718
south africa,South Africa,5.194,1.425,1.088,0.361,0.442,0.089,0.046,1.742
azerbaijan,Azerbaijan,5.173,1.458,1.093,0.56,0.601,0.023,0.341,1.098
gambia,Gambia,5.164,0.785,0.621,0.369,0.367,0.388,0.103,2.531
bangladesh,Bangladesh,5.155,1.06,0.614,0.581,0.622,0.125,0.187,1.967
lao pdr,Lao PDR,5.14,1.239,0.654,0.479,0.679,0.197,0.184,1.709
algeria,Algeria,5.122,1.363,0.97,0.643,0.146,0.106,0.15,1.744
liberia,Liberia,5.122,0.636,0.67,0.309,0.405,0.178,0.08,2.844
ukraine,Ukraine,5.084,1.411,1.081,0.583,0.473,0.188,0.017,1.331
congo,Congo,5.075,0.95,0.405,0.355,0.431,0.13,0.146,2.658
morocco,Morocco,5.06,1.208,0.268,0.565,0.492,0.02,0.102,2.405
mozambique,Mozambique,5.048,0.578,0.66,0.191,0.593,0.185,0.2,2.641
cameroon,Cameroon,5.048,0.968,0.672,0.317,0.397,0.152,0.074,2.469
senegal,Senegal,5.046,0.933,0.53,0.447,0.494,0.143,0.081,2.419
niger,Niger,5.003,0.57,0.56,0.326,0.571,0.165,0.145,2.667
georgia,Georgia,4.973,1.467,0.612,0.595,0.508,0.0,0.208,1.583
gabon,Gabon,4.958,1.459,0.738,0.396,0.343,0.032,0.099,1.892
iraq,Iraq,4.941,1.289,0.682,0.554,0.328,0.147,0.046,1.894
venezuela,Venezuela,4.925,0.0,0.968,0.578,0.283,0.225,0.082,2.79
guinea,Guinea,4.891,0.848,0.566,0.275,0.334,0.214,0.116,2.538
iran,Iran,4.888,1.41,0.741,0.642,0.281,0.241,0.146,1.427
ghana,Ghana,4.872,1.112,0.595,0.409,0.5,0.23,0.056,1.972
t rkiye,Türkiye,4.744,1.707,0.865,0.702,0.209,0.087,0.115,1.059
burkina faso,Burkina Faso,4.67,0.779,0.565,0.32,0.382,0.186,0.126,2.313
cambodia,Cambodia,4.64,1.019,0.732,0.505,0.74,0.166,0.068,1.41
benin,Benin,4.623,0.932,0.064,0.335,0.479,0.127,0.23,2.458
comoros,Comoros,4.609,0.899,0.476,0.424,0.185,0.195,0.125,2.304
uganda,Uganda,4.603,0.777,0.875,0.418,0.402,0.222,0.066,1.842
nigeria,Nigeria,4.552,1.079,0.732,0.3,0.444,0.175,0.038,1.784
kenya,Kenya,4.543,1.032,0.605,0.401,0.44,0.322,0.082,1.661
tunisia,Tunisia,4.516,1.35,0.596,0.656,0.316,0.029,0.029,1.54
pakistan,Pakistan,4.516,1.049,0.413,0.374,0.448,0.181,0.112,1.94
state of palestine,State of Palestine,4.483,1.148,0.957,0.521,0.336,0.073,0.079,1.368
mali,Mali,4.479,0.792,0.483,0.311,0.35,0.128,0.042,2.373
namibia,Namibia,4.459,1.292,0.877,0.354,0.384,0.067,0.071,1.414
eswatini,Eswatini,4.396,1.274,0.786,0.197,0.259,0.038,0.154,1.688
myanmar,Myanmar,4.394,1.038,0.829,0.491,0.513,0.452,0.194,0.877
sri lanka,Sri Lanka,4.362,1.415,0.934,0.66,0.529,0.15,0.079,0.595
madagascar,Madagascar,4.339,0.67,0.645,0.378,0.202,0.143,0.154,2.148
egypt,Egypt,4.288,1.388,0.732,0.548,0.469,0.041,0.254,0.856
chad,Chad,4.251,0.662,0.506,0.225,0.18,0.182,0.077,2.419
ethiopia,Ethiopia,4.241,0.788,0.809,0.457,0.472,0.205,0.136,1.375
yemen,Yemen,4.197,0.691,1.043,0.384,0.33,0.09,0.098,1.561
mauritania,Mauritania,4.153,1.1,0.865,0.45,0.304,0.088,0.138,1.207
jordan,Jordan,4.152,1.324,0.724,0.675,0.476,0.058,0.2,0.695
togo,Togo,4.112,0.771,0.322,0.36,0.292,0.174,0.132,2.061
india,India,3.777,1.167,0.376,0.471,0.647,0.198,0.123,0.795
zambia,Zambia,3.76,0.93,0.577,0.306,0.525,0.203,0.083,1.135
malawi,Malawi,3.75,0.648,0.279,0.388,0.477,0.14,0.157,1.661
